Hisse,Adi,Sektor,Alt Grup,Aciklama,Beta,FiyatKazanc Orani,PDDD Orani,FiyatSatis Orani,Kar Marji (%),Dolasimdaki Lot,Toplam Gelir,Net Kar,Son Kapanis Fiyati,52 Hafta En Yuksek,52 Hafta En Dusuk,Ortalama Hacim (10 gun),Piyasa Degeri,Son Fiyat,1 Ay Degisim (%),3 Ay Degisim (%),6 Ay Degisim (%),1 Yil Degisim (%),5 Yil Degisim (%),Volatilite
MEKAG.IS,MEKA GLOBAL MAKINE,Basic Materials,Building Materials,"Meka Beton Santralleri Imalat Sanayi ve Ticaret A.S. manufactures and sells crushing and screening equipment, and concrete batching plants in Turkey and internationally. Its ready mix concrete plants include stationary, mobile, compact, and dry batch concrete batching plants; and special solutions comprise precast and roller compacted concrete plants. The company also offers single and twin shaft, planetary, and mobile twin shaft concrete mixers; and cement silos, fiber feeding-dosing systems, automation systems, concrete recycling systems, mobile aggregate feeding conveyors, and concrete plant spare parts, as well as concrete plant components and options. In addition, it provides feeders, crushers, and conveyors; grizzly, horizontal, scalper, inclined, and dewatering screens; portable jaw and cone crushers, two-stage plants, impact crushers, and screens; wet processing equipment; and spare parts for crushing and screening plants. The company serves aggregates and concrete industries. Meka Beton Santralleri Imalat Sanayi ve Ticaret A.S. was incorporated in 1987 and is headquartered in Ankara, Turkey.",0.4229387755102041,164.3772290717037,3.1606672,1.707692,5.414,62500000.0,1581081344.0,85602248.0,42.38,91.45,37.94,617447.0,2700000000.0,2519.2596776254713,0.0,0.0926805274994509,-23.06322424046764,-16.923075455885666,1833.4553538504865,0.5707045774187047
MEPET.IS,METRO PETROL VE TESISLERI,Energy,Oil & Gas Refining & Marketing,"Mepet Metro Petrol ve Tesisleri Sanayi Ticaret A.S. owns and manages fuel stations and highway facilities in Turkey. The company was incorporated in 1999 and is headquartered in Beykoz, Turkey.",1.138,101.566584325,0.4849872,0.20055898,5.173,73298000.0,3329418496.0,172239648.0,9.03,14.72,7.4,1583777.0,667744768.0,9.109999656677246,-1.513517225110853,-6.659841772145714,-21.600690650618457,23.60922385531583,382.0105674936196,0.6036005295113445
MERCN.IS,MERCAN KIMYA,Basic Materials,Specialty Chemicals,"Mercan Kimya Sanayi Ve Ticaret Anonim Sirketi produces, buys, and sells paraffin, emulsion, petroleum jelly, vaseline, liquid paraffin, and other products in Turkey and internationally. The company buys and sells cosmetics, detergents, and industrial products. Mercan Kimya Sanayi Ve Ticaret Anonim Sirketi was founded in 1977 and is headquartered in Denizli, Turkey.",-0.055,13.505494,1.7863371,1.1262212,5.2330000000000005,190371008.0,2077442560.0,108719024.0,12.01,18.7,10.73,1840731.0,2339659776.0,12.289999961853027,-1.6800003051757817,-8.96296324553313,9.10099822299206,-2.744746182031028,285.6820575377699,0.5261215028638359
MERIT.IS,MERIT TURIZM,Consumer Cyclical,Resorts & Casinos,"Merit Turizm Yatirim ve Isletme Anonim Sirketi, together with its subsidiaries, engages in the hotel management business in Turkey. The company was founded in 1988 and is based in Istanbul, Turkey. Merit Turizm Yatirim ve Isletme Anonim Sirketi operates as a subsidiary of Net Holding A.S. Merit Turizm Yatirim ve Isletme Anonim Sirketi opearates as a subsidiary of Net Holding A.S.",0.99,16.421053,0.10563738,56.647694,271.57300000000004,336600000.0,92695040.0,251735120.0,15.8,28.020832,5.491666,5290209.0,5250960384.0,15.600000381469728,-8.860757942082644,12.839063990547276,-28.716336025774364,200.53192715817696,11970.073455895104,0.7855569314190924
MERKO.IS,MERKO GIDA,Consumer Defensive,Packaged Foods,"Merko Gida Sanayi ve Ticaret A.S. engages in processing of tomatoes in Turkey. It offers tomato paste, diced tomatoes, and tomato juice concentrates. The company was founded in 1982 and is headquartered in Istanbul, Turkey.",-0.752,50.413795,2.1045055,1.3364589,3.426,101126000.0,1106253312.0,37898176.0,14.8,19.05,7.9,2676157.0,1478462080.0,14.619999885559082,-6.581468102731628,-14.50292655313667,20.7266746493908,103.3379661920468,676.0974428701193,0.7174476056724189
METRO.IS,METRO HOLDING,Consumer Defensive,Packaged Foods,"Metro Ticari ve Mali Yatirimlar Holding A.S. engages in the travel management, facility and hotel management, mining, and energy businesses in Turkey. The company buys and sells motor land transportation vehicles; sells domestic and international flight tickets; operates hotels under the EUPHORIA HOTEL name; extracts, purchases, operates, enriches, refines, and leases underground and surface mineral and natural resources; buys, imports, exports, and sells food products; and produces meat and meat products. It is involved in the generation and selling of electricity; provision of road passenger transportation and tourism agency services; and investment activities. The company was formerly known as Van-Et A.S. Metro Ticari ve Mali Yatirimlar Holding A.S. was incorporated in 1977 and is headquartered in Istanbul, Turkey.",1.201,85.63967451794872,0.037124485,55.111603,5.534833279629629,527366016.0,24975234.0,-2336718080.0,2.6,4.06,2.01,16347941.0,1376425216.0,2.609999895095825,6.967206306913884,2.755902924964228,-9.688588222997096,26.086955520190774,111.6587418861026,0.5003964818563594
METUR.IS,METEMTUR YATIRIM,Utilities,Utilities - Renewable,"Metemtur Yatirim Enerji Turizm ve Insaat Anonim Sirketi operates a holiday village in Bodrum Gumbet, Turkey. The company is involved in the construction and sale of Fugayaz Gundogan houses; and generation and sale of electricity through solar power plants. Metemtur Yatirim Enerji Turizm ve Insaat Anonim Sirketi was incorporated in 1985 and is headquartered in Istanbul, Turkey.",0.538,489.1192857857143,4.7601476,9.984161,22.388001,108000000.0,181403328.0,40613484.0,16.52,18.95,6.37,3607545.0,1811160064.0,16.770000457763672,11.57685133536932,9.464757126785898,21.521740767966275,126.4874159597288,4895.978413270242,0.6773136509895651
MGROS.IS,MIGROS TICARET,Consumer Defensive,Grocery Stores,"Migros Ticaret A.S., together with its subsidiaries, engages in the retail sale of food and beverages, and consumer and durable goods. The company operates Migros Sanal Market, an online food retailing website, as well as Tazedirekt.com, an online shopping website. It also sells its good through stores, shopping centers, Ramstores Banner abroad, and internet. Migros Ticaret A.S. was founded in 1954 and is headquartered in Istanbul, Turkey.",0.206,29.076088,1.790759,0.46941155,1.574,178092000.0,202975870976.0,3186746112.0,525.0,584.0,329.75,1088299.0,95279218688.0,535.0,9.856262833675563,16.289681696027397,2.6541890409945,66.37314779182289,2179.5163780003904,0.4097176065263376
MHRGY.IS,MHR GMYO,Real Estate,REIT - Office,"MHR Gayrimenkul Yatirim Ortakligi Anonim Sirketi engages in real estate rental activities. The company was founded in 2021 and is based in Istanbul, Turkey.",0.6377666666666666,3.0943396,0.6532997,26.363163,309.26901999999995,827000000.0,154338080.0,477320416.0,4.91,6.65,4.25,3885308.0,4068839936.0,37.03113629059358,-2.1868812907782256,3.797474976107842,-2.3809501283202863,0.0,1021.1702504368692,0.5870558385259707
MIATK.IS,MIA TEKNOLOJI,Technology,Information Technology Services,"Mia Teknoloji Anonim Sirketi provides software development services to public and private organizations in Turkey. The company offers various solutions for identification and authentication; integrated facility security and management; critical facility security and management; environmental monitoring and surveillance; city security and surveillance; border security; intelligent traffic management; health informatics technologies; electronic fee collection; electromobility; information security; cyber security; and outsourcing service. It also provides immersive technologies that consist of virtual reality, augmented reality, and mixed reality. The company was founded in 2006 and is headquartered in Ankara, Turkey.",1.073,21.14,6.445122,12.130678,57.161,494000000.0,1721776640.0,984176320.0,42.24,84.4,32.08,6248986.0,20886319104.0,42.27999877929688,-3.558397280705593,-3.7778786966167,-36.98956819558903,33.459590820740296,3062.4856987426488,0.7139832446227564
MMCAS.IS,MMC SAN. VE TIC. YAT.,Industrials,Integrated Freight & Logistics,"MMC Sanayi Ve Ticari Yatirimlar A.S. trades in fruits and vegetables from agricultural products in Turkey. The company also provides domestic and international transportation and agency services; buys, sells, and rents domestic and international real estate; and imports and exports in the field of pharmaceutical industry. In addition, it engages in the marketing and participation investments of all kinds of goods and services using various communication channels in the field of electronic commerce. The company was founded in 2000 and is headquartered in Istanbul, Turkey.",-0.384,17441860.0,6.039186606574074,115.171,-94.111,13336900.0,2304437.0,-2168727.0,19.9,33.0,7.62,60764.0,265404304.0,19.899999618530277,4.847208105809816,-22.143974826579395,-2.9268311291206177,150.94577615772067,1586.440720602003,0.7940390548727648
MNDRS.IS,MENDERES TEKSTIL,Consumer Cyclical,Textile Manufacturing,"Menderes Tekstil Sanayi ve Ticaret Anonim Sirketi operates a cotton and synthetic textile company in Turkey. The company manufactures pressed cotton, yarn, raw cloth, lining, interlining, duvet cover, bed sheet, shirting, and upholstery cloth products. It also engages in the production of electric energy. The company was founded in 1958 and is based in Izmir, Turkey.",0.6020684931506849,3.8638134,0.2601724,0.53450024,14.387,277292992.0,5151577600.0,741158144.0,9.88,16.38,8.42,4744462.0,2753519616.0,9.93000030517578,-8.899076580750231,-11.021501425213303,-19.919349914038563,23.354038135361805,652.2727204994725,0.6072509102794035
MNDTR.IS,MONDI TURKEY,Consumer Cyclical,Packaging & Containers,"Mondi Tire Kutsan Kagit ve Ambalaj Sanayi A.S. engages in the production and sale of corrugated containerboards. It offers tray and hood perforated boxes; bottle carrier boxes; corrugated packaging solutions for fresh fruits and vegetables; corrugated wrap around boxes; deppo boxes; octabin boxes; tanker boxes; kit modules; solar panel boxes; and automotive logistic packaging solutions. The company also provides e-commerce packaging solutions, such as envelop mailers, delight boxes, e-grocery boxes, sizeme boxes, and floral boxes. It offers a range of packaging solution for industrial applications, as well as food, beverage, and retail sectors. The company operates in approximately 30 countries, including Turkey, Europe, Asia, North America, and Africa. The company was incorporated in 1974 and is headquartered in Istanbul, Turkey. Mondi Tire Kutsan Kagit ve Ambalaj Sanayi A.S. operates as a subsidiary of Mondi Corrugated B.V.",-0.163,6.384615,0.46491158,0.6627614,-4.96,1049040000.0,9196254208.0,-456178144.0,5.72,16.59,5.24,1396311.0,6094922240.0,5.809999942779541,2.469133414493764,-6.891023142803259,-9.501559599147813,-58.559202902434905,42.75183532505589,0.7140048831402134
MOBTL.IS,MOBILTEL ILETISIM,Technology,Electronics & Computer Distribution,"Mobiltel Iletisim Hizmetleri Sanayi ve Ticaret A.S. distributes mobile phones in Turkey. It offers smart phones, tablets, desktop phones, laptops, ecosystems, and wearable technology and accessories, as well as telecommunication operator products, such as modems, line, top up (virtual TL), and speech cards. Mobiltel Iletisim Hizmetleri Sanayi ve Ticaret A.S. was founded in 2001 and is based in Bahcelievler, Turkey.",0.167,14.033333,0.88020074,0.6762871,2.0610001,1025000000.0,6380795904.0,131537000.0,4.2,9.6,3.67,9774056.0,4315250176.0,4.210000038146973,1.2019277059821971,-7.675436601414219,-20.26515396104909,13.783783348395588,152.09581714579403,0.5215595284266678
MOGAN.IS,MOGAN ENERJI,Utilities,Utilities - Renewable,"Mogan Enerji Yatirim Holding Anonim Sirketi engages in the renewable energy business in Turkey. It generates energy through geothermal, hydroelectric, and wind power plants. The company was founded in 1980 and is based in Ankara, Turkey.",0.538,16.158731,0.46547782,2.9377394,-23.563999,2440110080.0,8455590400.0,-1992508800.0,9.91,24.0,9.14,9136245.0,24840321024.0,31.623912946037624,3.560532901182071,-2.209409660015559,-16.006597349021433,-10.150040832075376,1180.6800466612194,0.5392028834760155
